Observed,strata,x-val,y-val,resource,StepLength
0,3,54,73,-0.4205976,14.7648231
0,4,83,61,-1.7194920,8.6023253
0,4,85,70,-0.8646979,9.8488578
0,4,77,64,0.6397595,2.2360680
0,4,71,63,1.1943540,5.8309519
0,4,63,73,0.3751067,14.7648231
0,4,78,67,-0.0540760,2.2360680
0,4,80,71,-0.7906400,6.4031242
0,4,72,65,0.4660333,4.1231056
0,4,69,67,1.5723360,7.0710678
0,4,76,65,1.5170760,1.0000000
0,5,79,58,0.3957602,3.1622777
0,5,73,59,1.0695340,3.6055513
0,5,73,59,1.0695340,3.6055513
0,5,85,56,-0.2118999,9.0553851
0,5,69,56,0.7720214,7.0710678
0,5,76,57,1.6132700,0.0000000
0,5,76,57,1.6132700,0.0000000
0,5,73,47,-1.1609320,10.4403065
0,5,76,59,1.5081080,2.0000000
0,5,69,50,-0.7717933,9.8994949
0,6,76,52,-0.3345152,5.0000000
0,6,79,59,0.0908420,3.6055513
0,6,72,57,0.6832184,4.0000000
0,6,76,58,1.6043680,1.0000000
0,6,67,58,1.1582870,9.0553851
0,6,76,63,1.2991780,6.0000000
0,6,74,52,0.1101054,5.3851648
0,6,77,61,0.5423336,4.1231056
0,6,79,57,0.4495126,3.0000000
0,6,84,49,-1.0226840,11.3137085
0,7,80,67,-0.7031519,4.1231056
0,7,79,65,0.2583941,3.1622777
0,7,72,66,0.4782604,4.0000000
0,7,80,73,-0.8991229,8.0622577
0,7,73,63,1.0322060,4.2426407
0,7,76,63,1.2991780,3.0000000
0,7,76,68,1.0978560,2.0000000
0,7,77,65,1.3665180,1.4142136
0,7,73,66,0.5006508,3.0000000
0,7,67,66,1.7483070,9.0000000
0,8,78,56,0.9667145,10.1980390
0,8,88,59,-0.9097568,13.8924440
0,8,78,62,0.7469046,4.4721360
0,8,78,64,0.5579233,2.8284271
0,8,74,69,0.8611141,3.6055513
0,8,74,63,1.3438290,3.6055513
0,8,70,66,0.4391001,6.0000000
0,8,78,67,-0.0540760,2.2360680
0,8,79,64,0.0054932,3.6055513
0,8,77,74,-0.4370906,8.0622577
0,9,75,64,1.3126930,3.0000000
0,9,76,67,1.3930560,1.0000000
0,9,74,66,1.0778940,1.4142136
0,9,72,65,0.4660333,3.6055513
0,9,73,63,1.0322060,4.4721360
0,9,75,67,1.8707250,0.0000000
0,9,74,67,1.3046250,1.0000000
0,9,68,56,0.4951169,13.0384048
0,9,82,64,-0.6303703,7.6157731
0,9,75,65,1.4119800,2.0000000
0,10,72,72,0.7636088,7.2111026
0,10,71,66,0.7528585,5.0000000
0,10,73,68,0.4349045,3.6055513
0,10,87,60,-0.4011909,12.5299641
0,10,76,64,0.8373923,2.0000000
0,10,62,61,1.2594710,14.8660687
0,10,76,65,1.5170760,1.0000000
0,10,70,65,0.5215261,6.0827625
0,10,75,66,1.7440390,1.0000000
0,10,78,66,0.8060785,2.0000000
0,11,74,64,1.3669970,2.8284271
0,11,73,66,0.5006508,3.0000000
0,11,68,65,1.5602810,8.0622577
0,11,76,67,1.3930560,1.0000000
0,11,74,68,1.0092890,2.8284271
0,11,81,71,-1.4553730,7.0710678
0,11,78,64,0.5579233,2.8284271
0,11,76,66,2.5387070,0.0000000
0,11,72,64,1.1323590,4.4721360
0,11,85,66,-1.1895720,9.0000000
0,12,77,69,-0.2069129,3.1622777
0,12,80,64,-0.3133998,4.4721360
0,12,76,71,-0.0102200,5.0000000
0,12,76,62,1.3048820,4.0000000
0,12,75,65,1.4119800,1.4142136
0,12,74,71,0.2670948,5.3851648
0,12,73,61,0.4985008,5.8309519
0,12,71,63,1.1943540,5.8309519
0,12,75,73,0.0772539,7.0710678
0,12,69,58,1.2094040,10.6301458
0,13,80,66,-0.3133251,4.0000000
0,13,79,61,-0.0330938,5.8309519
0,13,80,67,-0.7031519,4.1231056
0,13,73,69,0.3369320,4.2426407
0,13,76,65,1.5170760,1.0000000
0,13,79,71,-0.9149740,5.8309519
0,13,80,65,-0.3128674,4.1231056
0,13,79,65,0.2583941,3.1622777
