Observed,strata,x-val,y-val,resource,StepLength,Bearing,CosTA
0,17,92,63,-1.183549,16.5529454,-2.0074235,-0.114624076
0,17,43,46,-1.696779,64.498062,-2.6224465,-0.666794796
0,17,98,70,-0.1398069,8.0622577,-1.6951513,0.196116201
0,17,83,90,-0.9404118,20,2.4980915,-0.948683298
0,17,42,41,0.1584311,67.955868,-2.5658343,-0.623559341
0,18,41,44,-0.8840392,66.7308025,-2.6243053,0.494524203
0,18,97,91,0.0379698,14.1421356,1.7126934,-0.989949495
0,18,85,90,-1.156782,19.1049732,2.3932146,-0.680451123
0,18,98,43,-2.412154,34.0147027,-1.6001996,0.999567754
0,18,92,78,0.0630566,7.0710678,2.9996956,-0.141421382
0,18,54,71,0.2237537,45.3982379,-3.0090411,0.132163715
0,18,86,83,-0.5782877,14.3178211,2.7091849,-0.419058182
0,18,64,53,-0.3229246,42.4381903,-2.5405189,0.565528333
0,18,23,74,-0.4959632,76.0591875,-3.1021395,0.039442892
0,18,99,77,0.0909727,0,0,2.67949E-08
0,19,63,49,-0.2875604,42.5440948,-2.625362,0.365652382
0,19,93,66,-1.153909,8.0622577,-2.6224465,0.368364431
0,19,94,76,0.9116102,8.4852814,2.3561945,-0.799999977
0,19,71,46,-0.6378959,37.6430604,-2.4502557,0.522209671
0,19,89,68,-1.110356,11.1803399,-2.9617392,0.037947314
0,19,93,83,0.287574,14.7648231,2.0647377,-0.938669748
0,19,90,70,-1.684618,10,3.1415927,-0.141421283
0,19,95,76,1.1515,7.8102497,2.2655346,-0.851036
0,19,77,86,-1.259897,28.0178515,2.5337907,-0.681418476
0,19,92,83,0.1914152,15.2643375,2.1224513,-0.917217281
0,20,94,36,-0.5439983,30.4138127,-0.7621465,-0.365322824
0,20,73,54,-0.0311249,3.1622777,-1.2490458,0.112679909
0,20,89,80,0.0040475,28.6006993,0.9342881,-0.877765712
0,20,62,59,0.504588,10.198039,2.9441971,0.806808726
0,20,59,17,-0.9278571,42.0594817,-1.8850282,0.680835048
0,20,63,62,1.204402,10.2956301,2.6344941,0.588358689
0,20,49,80,-0.5235519,32.5269119,2.3561945,0.343581504
0,20,67,54,0.7984735,5.8309519,-2.6011732,0.994413762
0,20,48,56,-1.600956,24.0208243,-3.0999501,0.923753726
0,20,40,64,-0.166994,32.7566787,2.926235,0.796066909
0,21,75,75,-0.7577456,19.2353841,1.4141944,-0.987762953
0,21,66,43,-1.430382,14.3178211,-2.0032041,0.907959374
0,21,43,68,-1.026064,31.3847097,2.7492525,-0.382351826
0,21,65,50,-0.78594,9.2195445,-2.4329664,0.650791339
0,21,48,33,-0.8745716,33.2415403,-2.3774679,0.691905327
0,21,49,40,-1.252031,28.0178515,-2.5337907,0.571064431
0,21,38,35,-1.768659,39.9624824,-2.5882983,0.525492882
0,21,47,38,-1.019836,30.8058436,-2.5175696,0.584304705
0,21,33,24,-0.4598523,50.447993,-2.4544684,0.634316625
0,21,53,65,-1.253678,21.023796,2.6992184,-0.428086397
0,22,97,54,-0.6603108,22.1359436,0.3217506,0.096324147
0,22,90,45,-0.3466925,14.1421356,-0.1418971,0.531289073
0,22,74,43,-1.887017,4.472136,-2.0344439,0.635707283
0,22,59,46,-1.858205,17.0293864,-3.0828368,-0.351776729
0,22,42,43,-0.2372621,34.2344855,-3.0244839,-0.29658577
0,22,69,47,-0.7862464,7,3.1415927,-0.406138421
0,22,87,39,-0.5979843,13.6014705,-0.6287963,0.865936928
0,22,83,59,-0.116758,13.892444,1.0427219,-0.58468975
