latitude,longitude,elevation
  51.74457,-115.67436,2024.73462
  51.76272,-115.65993,2322.62598
  51.93925,-115.67931,1550.00000
  52.04090,-115.70801,1572.00330
  51.98137,-115.57126,1572.21851
  51.82070,-115.78410,2110.39355
  51.73836,-115.86369,2327.29175
  52.03097,-115.79202,1660.00000
  51.81186,-115.79567,2183.19360
  51.95670,-115.65001,1526.33386
  51.81309,-115.67398,2012.00513
  52.06793,-115.54168,1567.20203
  51.93760,-115.71837,1795.70544
  51.74101,-115.88898,2538.37476
  52.08328,-115.65633,1788.75183
  51.74343,-115.56517,1619.52539
  51.96340,-115.82136,2187.74780
  51.77905,-115.58783,2201.89380
  52.08915,-115.86727,1635.00000
  52.02774,-115.90627,1960.31519
  51.78724,-115.76314,2295.40308
  51.98936,-115.85810,2144.39648
  51.88125,-115.55565,1771.48608
  51.92625,-115.74731,2363.00049
  51.80677,-115.51439,2360.20483
  51.88670,-115.53777,1674.59021
  52.11309,-115.74951,1520.90942
  51.73583,-115.48917,1631.87183
  52.05131,-115.62304,1456.05725
  52.14940,-115.58238,1421.95459
  52.13212,-115.76920,1589.01501
  52.03773,-115.84293,1698.83081
  52.05813,-115.80035,1620.95886
  52.13922,-115.66262,1559.20300
  51.77203,-115.82279,2855.12842
  52.00205,-115.66086,1662.87366
  51.74418,-115.90080,2513.96021
  52.08215,-115.53770,1645.93884
  51.84535,-115.90153,1837.94250
  51.95082,-115.88458,2046.84753
  51.94592,-115.85146,2147.31396
  51.86374,-115.78965,1678.08997
  51.92993,-115.57686,1562.68091
  51.78776,-115.69808,2230.52979
  52.04732,-115.89981,2005.59595
  51.94238,-115.82216,2525.99512
  51.98161,-115.82538,2078.81592
  51.91659,-115.66887,2103.60840
  51.85065,-115.78656,1843.18457
  52.12186,-115.77799,1578.96851
  51.75507,-115.67399,2261.62231
  51.95390,-115.58385,1639.06921
  51.78847,-115.60500,1945.50281
  51.86924,-115.54024,1870.23853
  52.06805,-115.75030,1577.15259
  51.79763,-115.81779,2649.97754
  51.97048,-115.56961,1696.27954
  52.00850,-115.49032,1389.36731
  52.01908,-115.72423,1687.12207
  51.76895,-115.86412,2159.36792
  52.05186,-115.83855,1696.69312
  51.89903,-115.81439,2130.38403
  52.02672,-115.73373,1617.43323
  51.91066,-115.58603,1645.48840
  52.11210,-115.63332,1815.53662
  52.03755,-115.62596,1627.00867
  51.83891,-115.66724,2341.57568
  51.81962,-115.78946,2139.68213
  51.80482,-115.73936,2358.44141
  52.09850,-115.55345,1787.06299
  51.87191,-115.74127,1763.00476
  51.88243,-115.75668,1599.40149
  51.96853,-115.60524,1643.96692
  51.80120,-115.63331,2117.12744
  52.14239,-115.55135,1562.74426
  51.73006,-115.59369,1612.43408
  52.00160,-115.81015,1959.53491
  52.13953,-115.49606,1487.51953
  52.04204,-115.70866,1564.35901
  52.05598,-115.58652,1455.02979
  51.93611,-115.57663,1582.68542
  51.96606,-115.73194,1661.26514
  51.97044,-115.69447,1594.65100
  52.07385,-115.57479,1711.05457
  51.89763,-115.59598,1910.29468
  52.06207,-115.85041,1699.56458
  51.84276,-115.54400,2124.68726
  51.76222,-115.87583,2345.31641
  51.80053,-115.60129,2129.47681
  51.90337,-115.52719,1609.24463
  51.78485,-115.89762,2166.65430
  52.09721,-115.55422,1747.20312
  52.07907,-115.75576,1713.07544
  52.12615,-115.66387,1689.86963
  51.95527,-115.66584,1543.75110
  51.77185,-115.67189,2453.52466
  51.78370,-115.52894,1783.90564
  52.09011,-115.58288,1581.77173
  52.07924,-115.50971,1690.52917
  52.00131,-115.91152,1861.87292
  52.11870,-115.66652,1618.96973
  51.96995,-115.90558,2002.44397
  52.10502,-115.90371,1751.23547
  52.11505,-115.56000,1659.23010
  52.13520,-115.52503,1582.37061
  51.82100,-115.78669,2130.65698
  51.83718,-115.89239,2253.57568
  51.96268,-115.80617,2038.22925
  52.09449,-115.72638,1560.95093
  51.84537,-115.62996,2322.64380
  52.09468,-115.71784,1551.83691
  51.88237,-115.77332,1609.53198
  51.95291,-115.69524,1541.68347
  52.06729,-115.58339,1580.85632
  51.93261,-115.61212,1612.10559
  51.73598,-115.83211,2239.14526
  51.82582,-115.55565,2168.20312
  51.79391,-115.89180,2163.28369
  51.92210,-115.90393,2301.03857
  52.06239,-115.66377,1491.62524
  52.05016,-115.74912,1774.64062
  52.14730,-115.51820,1512.34424
  52.03108,-115.64350,1500.93359
  51.89785,-115.57508,1748.37451
  52.11174,-115.73082,1544.00000
  52.12272,-115.89149,1743.94470
  52.04630,-115.54462,1431.68689
  51.83452,-115.48595,1759.65637
  51.86815,-115.63796,2270.33301
  51.92024,-115.80268,2210.38013
  52.13453,-115.58577,1535.75989
  51.86500,-115.89547,1744.78235
  52.08494,-115.51274,1621.49780
  51.96868,-115.50419,1521.42554
  51.99265,-115.85756,2041.02869
  52.04865,-115.63746,1463.50110
  52.10839,-115.73826,1548.06128
  51.79206,-115.76828,2385.89697
  51.92237,-115.76583,2033.57593
  51.75508,-115.90309,2481.70605
  51.94437,-115.77199,2093.34521
  52.13604,-115.69137,1688.09680
  51.93559,-115.87794,2163.09106
  51.94538,-115.58129,1687.79993
  51.82897,-115.75059,1824.15491
  52.08166,-115.51440,1693.43933
